## file created 24.Feb.2016 #
#       i  cr  sl  tb  dcc  spigot  fiber/slb  fibcha/slbcha  subdet  ieta  iphi  depth
 4528480C   0  14   t    3       2          8              1      HE    18    12      2
 4528640B   0  14   t    3       2          8              2      HE    25    11      2
 4328400D   0  14   b    3       3          1              0      HB    16    13      2
 43283C0D   0  14   b    3       3          1              1      HB    15    13      2
 4318380D   0  14   b    3       3          1              2      HB    14    13      1
 43183C0D   0  14   b    3       3          2              0      HB    15    13      1
 4318340D   0  14   b    3       3          2              1      HB    13    13      1
 4318400D   0  14   b    3       3          2              2      HB    16    13      1
 4328400E   0  14   b    3       3          3              0      HB    16    14      2
 43283C0E   0  14   b    3       3          3              1      HB    15    14      2
 4318380E   0  14   b    3       3          3              2      HB    14    14      1
 43183C0E   0  14   b    3       3          4              0      HB    15    14      1
 4318340E   0  14   b    3       3          4              1      HB    13    14      1
 4318400E   0  14   b    3       3          4              2      HB    16    14      1
 4518440D   0  14   b    3       3          5              0      HE    17    13      1
 4538400D   0  14   b    3       3          5              1      HE    16    13      3
 4518640D   0  14   b    3       3          5              2      HE    25    13      1
 4518480D   0  14   b    3       3          6              0      HE    18    13      1
 4528480D   0  14   b    3       3          6              1      HE    18    13      2
 4528640D   0  14   b    3       3          6              2      HE    25    13      2
 4518440E   0  14   b    3       3          7              0      HE    17    14      1
 4538400E   0  14   b    3       3          7              1      HE    16    14      3
 4518680D   0  14   b    3       3          7              2      HE    26    13      1
 4518480E   0  14   b    3       3          8              0      HE    18    14      1
 4528480E   0  14   b    3       3          8              1      HE    18    14      2
 4528680D   0  14   b    3       3          8              2      HE    26    13      2
 4518700B   0  15   t    3       4          1              0      HE    28    11      1
 4528700B   0  15   t    3       4          1              1      HE    28    11      2
 4518740B   0  15   t    3       4          1              2      HE    29    11      1
 4538700B   0  15   t    3       4          2              0      HE    28    11      3
 4528600B   0  15   t    3       4          2              1      HE    24    11      2
 4518600B   0  15   t    3       4          2              2      HE    24    11      1
 45186C0B   0  15   t    3       4          3              0      HE    27    11      1
 45286C0B   0  15   t    3       4          3              1      HE    27    11      2
 4528740B   0  15   t    3       4          3              2      HE    29    11      2
 45386C0B   0  15   t    3       4          4              0      HE    27    11      3
